	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	1	3	1	1	1	1	48	0	0	37.2564 	0	0
UL	1	4	1	1	1	1	48	0	0	37.2564 	0	0
UL	1	7	2	1	1	1	1776	28	0	37.2564 	0	0
UL	1	8	1	1	1	1	1776	28	0	37.2564 	0	0
UL	2	2	1	1	1	1	1776	28	0	37.2564 	0	0
UL	4	3	2	1	1	1	1776	28	0	37.2564 	0	0
UL	4	4	2	1	1	1	1776	28	0	37.2564 	0	0
UL	4	5	2	1	1	1	1776	28	0	37.2564 	0	0
UL	4	6	2	1	1	1	1776	28	0	37.2564 	0	0
UL	4	8	2	1	1	1	1776	28	0	37.2564 	0	0
UL	4	9	1	1	1	1	1776	28	0	37.2564 	0	0
UL	5	0	2	1	1	1	1776	28	0	37.2564 	0	0
UL	5	1	1	1	1	1	1776	28	0	37.2564 	0	0
UL	5	2	1	1	1	1	1776	28	0	37.2564 	0	0
DL	30	8	1	1	2	1	48	0	0	51.2568	 	0	0
DL	30	8	2	1	2	2	48	0	0	35.1033	 	0	0
DL	30	8	3	1	2	3	48	0	0	56.6532	 	0	0
DL	30	8	4	1	2	4	48	0	0	11.1325	 	0	0
DL	30	8	5	1	2	5	48	0	0	22.2613	 	0	0
DL	30	8	6	1	2	6	48	0	0	55.3948	 	0	0
DL	30	8	7	1	2	7	48	0	0	7.9536	 	0	0
DL	30	8	8	1	2	8	48	0	0	46.4913	 	0	0
DL	30	8	9	1	2	9	48	0	0	27.8279	 	0	0
DL	30	8	10	1	2	10	48	0	0	53.1602	 	0	0
DL	30	8	11	1	2	11	48	0	0	48.3897	 	0	0
DL	30	8	12	1	2	12	48	0	0	6.81451	 	0	0
DL	30	8	13	1	2	13	48	0	0	45.6366	 	0	0
DL	30	8	14	1	2	14	48	0	0	9.46795	 	0	0
DL	30	9	1	1	1	2	48	0	0	5.00435	 	0	0
DL	30	9	2	1	1	3	48	0	0	17.9918	 	0	0
DL	30	9	3	1	1	4	48	0	0	49.0734	 	0	0
DL	30	9	4	1	1	5	48	0	0	20.5184	 	0	0
DL	30	9	5	1	1	6	48	0	0	9.51707	 	0	0
DL	30	9	6	1	1	7	48	0	0	2.42259	 	0	0
DL	30	9	7	1	1	8	48	0	0	44.8716	 	0	0
DL	30	9	8	1	1	9	48	0	0	34.7955	 	0	0
DL	30	9	9	1	1	10	48	0	0	46.6112	 	0	0
DL	30	9	10	1	1	11	48	0	0	23.6758	 	0	0
DL	30	9	11	1	1	12	48	0	0	-3.6382	 	0	5.55112e-17
DL	30	9	12	1	1	13	48	0	0	27.5196	 	0	0
DL	30	9	13	1	1	14	48	0	0	39.004	 	0	0
DL	30	9	14	1	1	15	48	0	0	9.9713	 	0	0
DL	30	9	15	1	1	16	48	0	0	48.7874	 	0	0
DL	30	9	16	1	1	17	48	0	0	53.792	 	0	0
DL	30	9	17	1	1	18	48	0	0	16.4924	 	0	0
DL	30	9	18	1	1	19	48	0	0	8.44648	 	0	0
DL	30	9	19	1	1	20	48	0	0	4.66951	 	0	0
DL	30	9	20	1	1	21	48	0	0	38.4111	 	0	0
DL	30	9	21	1	1	22	48	0	0	39.617	 	0	0
DL	30	9	22	1	1	23	48	0	0	5.37086	 	0	0
DL	30	9	23	1	1	24	48	0	0	51.8983	 	0	0
DL	30	9	24	1	1	25	48	0	0	0.528364	 	0	0
DL	30	9	25	1	1	26	48	0	0	2.48635	 	0	0
DL	30	9	26	1	1	27	48	0	0	14.0575	 	0	0
UL	31	0	1	20	1	1	1027	0	0	37.2564 	0	0
UL	31	5	1	1	1	2	48	0	0	5.00435 	0	0
UL	31	5	2	1	1	3	48	0	0	17.9918 	0	0
UL	31	5	3	1	1	4	48	0	0	49.0734 	0	0
UL	31	5	4	1	1	5	48	0	0	20.5184 	0	0
UL	31	5	5	1	1	6	48	0	0	9.51707 	0	0
UL	31	5	6	1	1	7	48	0	0	2.42259 	0	0
UL	31	5	7	1	1	8	48	0	0	44.8716 	0	0
UL	31	5	8	1	1	9	48	0	0	34.7955 	0	0
UL	31	5	9	1	1	10	48	0	0	46.6112 	0	0
UL	31	5	10	1	1	11	48	0	0	23.6758 	0	0
UL	31	5	11	1	1	12	48	0	0	-3.6382 	0	5.55112e-17
UL	31	5	12	1	1	13	48	0	0	27.5196 	0	0
UL	31	5	13	1	1	14	48	0	0	39.004 	0	0
UL	31	5	14	1	1	15	48	0	0	9.9713 	0	0
UL	31	5	15	1	1	16	48	0	0	48.7874 	0	0
UL	31	5	16	1	1	17	48	0	0	53.792 	0	0
UL	31	5	17	1	1	18	48	0	0	16.4924 	0	0
UL	31	5	18	1	1	19	48	0	0	8.44648 	0	0
UL	31	5	19	1	1	20	48	0	0	4.66951 	0	0
UL	31	5	20	1	1	21	48	0	0	38.4111 	0	0
UL	31	5	21	1	1	22	48	0	0	39.617 	0	0
UL	31	5	22	1	1	23	48	0	0	5.37086 	0	0
UL	31	5	23	1	1	24	48	0	0	51.8983 	0	0
UL	31	5	24	1	1	25	48	0	0	0.528364 	0	0
UL	31	5	25	1	1	26	48	0	0	2.48635 	0	0
UL	31	5	26	1	1	27	48	0	0	14.0575 	0	0
UL	31	6	1	1	1	2	48	0	0	5.00435 	0	0
UL	31	6	2	1	1	3	48	0	0	17.9918 	0	0
UL	31	6	3	1	1	4	48	0	0	49.0734 	0	0
UL	31	6	4	1	1	5	48	0	0	20.5184 	0	0
UL	31	6	5	1	1	6	48	0	0	9.51707 	0	0
UL	31	6	6	1	1	7	48	0	0	2.42259 	0	0
UL	31	6	7	1	1	8	48	0	0	44.8716 	0	0
UL	31	6	8	1	1	9	48	0	0	34.7955 	0	0
UL	31	6	9	1	1	10	48	0	0	46.6112 	0	0
UL	31	6	10	1	1	11	48	0	0	23.6758 	0	0
UL	31	6	11	1	1	12	48	0	0	-3.6382 	0	5.55112e-17
UL	31	6	12	1	1	13	48	0	0	27.5196 	0	0
UL	31	6	13	1	1	14	48	0	0	39.004 	0	0
UL	31	6	14	1	1	15	48	0	0	9.9713 	0	0
UL	31	6	15	1	1	16	48	0	0	48.7874 	0	0
UL	31	6	16	1	1	17	48	0	0	53.792 	0	0
UL	31	6	17	1	1	18	48	0	0	16.4924 	0	0
UL	31	6	18	1	1	19	48	0	0	8.44648 	0	0
UL	31	6	19	1	1	20	48	0	0	4.66951 	0	0
UL	31	6	20	1	1	21	48	0	0	38.4111 	0	0
UL	31	6	21	1	1	22	48	0	0	39.617 	0	0
UL	31	6	22	1	1	23	48	0	0	5.37086 	0	0
UL	31	6	23	1	1	24	48	0	0	51.8983 	0	0
UL	31	6	24	1	1	25	48	0	0	0.528364 	0	0
UL	31	6	25	1	1	26	48	0	0	2.48635 	0	0
UL	31	6	26	1	1	27	48	0	0	14.0575 	0	0
DL	31	7	1	1	2	1	1776	28	0	51.2568	 	0	0
DL	31	7	3	1	2	2	1776	28	0	35.1033	 	0	0
DL	31	7	5	1	2	3	1776	28	0	56.6532	 	0	0
DL	31	7	7	1	2	4	768	16	0	11.1325	 	0	0
DL	31	7	9	1	2	5	1449	24	0	22.2613	 	0	0
DL	31	7	11	1	2	6	1776	28	0	55.3948	 	0	0
DL	31	7	13	1	2	7	619	14	0	7.9536	 	0	1.55853e-10
DL	31	7	15	1	2	8	1776	28	0	46.4913	 	0	0
DL	31	7	17	1	2	9	1776	28	0	27.8279	 	0	4.34907e-07
DL	31	7	19	1	2	10	1776	28	0	53.1602	 	0	0
DL	31	7	21	1	2	11	1776	28	0	48.3897	 	0	0
DL	31	7	23	1	2	12	476	12	0	6.81451	 	0	9.68059e-13
DL	31	7	25	1	2	13	1776	28	0	45.6366	 	0	0
DL	31	7	27	1	2	14	619	14	0	9.46795	 	0	0
UL	31	9	1	1	1	2	48	0	0	5.00435 	0	0
UL	31	9	2	1	1	3	48	0	0	17.9918 	0	0
UL	31	9	3	1	1	4	48	0	0	49.0734 	0	0
UL	31	9	4	1	1	5	48	0	0	20.5184 	0	0
UL	31	9	5	1	1	6	48	0	0	9.51707 	0	0
UL	31	9	6	1	1	7	48	0	0	2.42259 	0	0
UL	31	9	7	1	1	8	48	0	0	44.8716 	0	0
UL	31	9	8	1	1	9	48	0	0	34.7955 	0	0
UL	31	9	9	1	1	10	48	0	0	46.6112 	0	0
UL	31	9	10	1	1	11	48	0	0	23.6758 	0	0
UL	31	9	11	1	1	12	48	0	0	-3.6382 	0	5.55112e-17
UL	31	9	12	1	1	13	48	0	0	27.5196 	0	0
UL	31	9	13	1	1	14	48	0	0	39.004 	0	0
UL	31	9	14	1	1	15	48	0	0	9.9713 	0	0
UL	31	9	15	1	1	16	48	0	0	48.7874 	0	0
UL	31	9	16	1	1	17	48	0	0	53.792 	0	0
UL	31	9	17	1	1	18	48	0	0	16.4924 	0	0
UL	31	9	18	1	1	19	48	0	0	8.44648 	0	0
UL	31	9	19	1	1	20	48	0	0	4.66951 	0	0
UL	31	9	20	1	1	21	48	0	0	38.4111 	0	0
UL	31	9	21	1	1	22	48	0	0	39.617 	0	0
UL	31	9	22	1	1	23	48	0	0	5.37086 	0	0
UL	31	9	23	1	1	24	48	0	0	51.8983 	0	0
UL	31	9	24	1	1	25	48	0	0	0.528364 	0	0
UL	31	9	25	1	1	26	48	0	0	2.48635 	0	0
UL	31	9	26	1	1	27	48	0	0	14.0575 	0	0
DL	32	0	1	1	1	2	282	8	0	5.00435	 	0	0
UL	32	0	2	1	1	2	327	9	0	5.00435 	0	0
